Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
1049N;2013-05-07;20.9;18:30;13.7;03:10;17.3;24;23:10;9;22:10;;;0;0;0
1049N;2013-05-08;17.7;02:00;11.2;23:59;14.5;22;01:50;9;02:00;5.8;0;0.4;5.2;0.2
1049N;2013-05-09;12.5;15:00;8.1;23:40;10.3;24;16:20;11;16:20;18.2;0;3.6;11.8;2.8
1049N;2013-05-10;13.0;18:00;7.4;07:00;10.2;19;17:30;10;14:20;0;0;0;0;0
1049N;2013-05-11;14.6;17:20;6.3;23:50;10.5;23;17:30;10;17:00;0;0;0;0;0
1049N;2013-05-12;11.2;15:10;6.0;23:59;8.6;15;12:20;7;09:00;1;0.4;0.6;0;0
1049N;2013-05-13;17.0;17:00;4.5;08:00;10.8;22;18:40;12;14:50;0;0;0;0;0
1049N;2013-05-14;18.7;14:40;6.0;05:00;12.4;27;16:20;15;16:20;4.6;0;0;0;4.6
1049N;2013-05-15;10.3;15:10;5.3;23:59;7.8;28;15:50;14;05:40;13.8;4;3.8;3;3
1049N;2013-05-16;12.5;15:40;3.4;06:40;8;28;11:50;12;11:50;5.6;1.8;0.8;0;3
1049N;2013-05-17;13.3;16:20;5.3;02:00;9.3;26;15:50;13;15:50;9.2;0.4;0.4;6.2;2.2
1049N;2013-05-18;8.0;13:40;5.7;07:10;6.8;27;14:30;12;14:40;;13.4;;5.2;4.2
1049N;2013-05-19;;;;;;;;;;;0.4;1.6;;
1049N;2013-05-20;;;;;;;;;;;;;;
1049N;2013-05-21;;;;;;;;;;;;;;0.4
1049N;2013-05-22;11.7;15:30;7.9;04:20;9.8;44;18:00;18;18:00;10.2;0.8;4.4;0;5
1049N;2013-05-23;9.8;13:00;7.8;23:10;8.8;35;13:00;13;13:30;3.4;2.2;0.8;0.2;0.2
1049N;2013-05-24;12.4;18:10;5.5;07:00;8.9;37;15:00;17;11:30;1.4;0.4;1;0;0
1049N;2013-05-25;11.4;14:50;5.7;23:10;8.5;38;11:10;16;04:50;4.6;2.8;1.8;0;0
1049N;2013-05-26;17.6;14:40;2.6;07:30;10.1;33;17:50;16;16:20;0;0;0;0;0
1049N;2013-05-27;16.6;17:30;8.6;02:00;12.6;20;19:00;11;15:20;1;0;1;0;0
1049N;2013-05-28;12.1;14:00;6.6;08:00;9.4;48;05:40;21;16:40;7.8;5.2;1.8;0.6;0.2
1049N;2013-05-29;11.3;16:00;5.2;09:00;8.3;38;13:40;15;18:30;18.2;0;8.8;5.4;4
1049N;2013-05-30;9.7;18:20;6.5;02:00;8.1;50;21:40;21;20:30;14.6;5.4;1.8;5.6;1.8
1049N;2013-05-31;9.8;18:40;8.1;09:10;9;53;07:50;21;05:40;21.6;0.2;9.4;7;5
1049N;2013-06-01;10.7;18:40;8.9;07:10;9.8;40;09:10;17;09:10;3.6;1.6;0;0;2
1049N;2013-06-02;12.7;14:00;9.1;05:00;10.9;23;14:20;11;10:30;1.8;1.6;0.2;0;0
1049N;2013-06-03;16.9;16:00;8.0;23:59;12.4;27;17:20;12;11:30;0;0;0;0;0
1049N;2013-06-04;19.4;14:40;6.4;06:10;12.9;26;17:50;12;14:30;0;0;0;0;0
1049N;2013-06-05;25.1;16:30;7.7;06:20;16.4;21;16:40;12;14:40;0;0;0;0;0
1049N;2013-06-06;25.5;15:00;11.7;06:30;18.6;26;18:10;11;13:20;4.8;0;0;1.2;3.6
1049N;2013-06-07;21.5;15:20;11.4;23:59;16.4;44;18:10;13;18:10;12.8;0;1;6.8;5
1049N;2013-06-08;12.0;15:50;10.7;05:10;11.3;24;09:40;10;10:10;24.8;2.6;8;7.8;6.4
1049N;2013-06-09;12.8;13:40;10.8;00:00;11.8;41;18:00;18;07:50;50.2;13;26.4;7.6;3.2
1049N;2013-06-10;19.9;17:00;11.4;00:00;15.6;30;05:20;13;01:00;0.4;0.4;0;0;0
1049N;2013-06-11;23.3;17:40;12.6;05:30;17.9;19;16:20;10;05:50;0;0;0;0;0
1049N;2013-06-12;29.6;15:50;14.6;04:30;22.1;30;20:50;16;21:20;0;0;0;0;0
1049N;2013-06-13;16.7;18:10;12.7;23:59;14.7;22;13:10;10;12:50;2.2;0.2;0.6;1.4;0
1049N;2013-06-14;25.4;14:50;11.0;03:50;18.2;28;18:30;15;16:10;0;0;0;0;0
1049N;2013-06-15;18.1;14:30;9.8;06:40;14;25;16:00;13;16:00;0;0;0;0;0
1049N;2013-06-16;30.5;16:40;12.3;07:10;21.4;30;11:40;14;15:50;0;0;0;0;0
1049N;2013-06-17;17.6;13:50;10.8;16:10;14.2;33;15:30;15;09:20;2.6;0;0;2.6;0
1049N;2013-06-18;13.2;14:50;9.8;20:50;11.5;26;17:10;14;17:10;25.4;0.2;4.6;3.4;17.2
1049N;2013-06-19;14.6;14:50;9.4;05:10;12;24;07:40;11;07:50;19.2;15;2.4;1.2;0.6
1049N;2013-06-20;13.0;17:00;10.2;00:10;11.6;24;13:10;9;16:20;3.4;2.6;0.6;0.2;0
1049N;2013-06-21;14.3;14:50;11.1;03:50;12.7;33;10:40;13;10:00;8.8;6;2.6;0.2;0
1049N;2013-06-22;23.3;15:30;9.2;05:10;16.2;23;15:40;12;16:20;0.4;0;0;0;0.4
1049N;2013-06-23;16.1;17:00;9.2;23:59;12.7;33;12:00;18;17:30;4.4;1;3.4;0;0
1049N;2013-06-24;15.9;16:40;8.2;00:50;12;22;17:40;11;10:40;0;0;0;0;0
1049N;2013-06-25;17.4;16:00;7.6;02:00;12.5;22;18:10;11;15:40;0;0;0;0;0
1049N;2013-06-26;18.5;16:20;8.9;00:00;13.7;29;18:30;13;18:20;0;0;0;0;0
1049N;2013-06-27;19.2;15:00;10.4;06:00;14.8;25;13:30;11;15:40;0;0;0;0;0
1049N;2013-06-28;20.1;15:30;9.4;05:00;14.8;20;10:40;10;14:00;0;0;0;0;0
1049N;2013-06-29;20.8;16:10;8.8;06:30;14.8;20;17:10;11;17:10;0;0;0;0;0
1049N;2013-06-30;20.6;17:40;12.3;06:40;16.5;21;16:20;10;16:00;0;0;0;0;0
1049N;2013-07-01;17.6;14:50;14.5;06:10;16.1;14;14:00;9;16:20;0;0;0;0;0
1049N;2013-07-02;20.4;12:50;12.8;06:00;16.6;19;16:00;11;14:30;0;0;0;0;0
1049N;2013-07-03;21.2;15:50;14.5;02:00;17.9;34;15:40;13;19:00;0.8;0;0;0;0.8
1049N;2013-07-04;21.6;15:50;14.7;06:00;18.2;21;16:10;11;16:40;0.8;0.6;0.2;0;0
1049N;2013-07-05;26.1;15:00;14.1;00:40;20.1;24;17:10;14;17:20;0;0;0;0;0
1049N;2013-07-06;26.8;16:20;15.2;06:40;21;27;14:30;15;14:30;0;0;0;0;0
1049N;2013-07-07;26.7;16:00;13.1;06:20;19.9;24;18:20;10;15:00;0;0;0;0;0
1049N;2013-07-08;28.7;15:30;15.4;06:20;22.1;23;16:00;14;17:00;0;0;0;0;0
1049N;2013-07-09;30.4;16:00;17.3;05:50;23.8;24;17:30;13;16:40;0;0;0;0;0
1049N;2013-07-10;28.8;14:20;16.9;06:30;22.8;21;15:40;10;15:20;0;0;0;0;0
1049N;2013-07-11;28.4;16:20;16.5;06:20;22.4;26;17:50;15;17:50;0;0;0;0;0
1049N;2013-07-12;30.3;15:10;17.9;23:10;24.1;41;21:30;14;18:20;0.6;0;0;0;0.6
1049N;2013-07-13;27.5;15:10;16.6;06:10;22.1;21;16:00;11;15:50;0;0;0;0;0
1049N;2013-07-14;25.4;16:30;15.4;06:20;20.4;21;10:40;12;18:10;0;0;0;0;0
1049N;2013-07-15;26.7;14:20;14.0;06:50;20.4;23;15:50;13;15:50;0;0;0;0;0
1049N;2013-07-16;23.1;18:30;16.1;04:40;19.6;17;22:40;9;17:10;1.8;0;0.6;1.2;0
1049N;2013-07-17;25.7;16:30;16.0;07:30;20.9;22;16:10;12;16:50;0;0;0;0;0
1049N;2013-07-18;26.2;16:40;15.4;04:50;20.8;22;17:30;12;13:10;0;0;0;0;0
1049N;2013-07-19;29.1;15:10;15.6;04:10;22.4;26;22:50;11;17:50;0;0;0;0;0
1049N;2013-07-20;31.3;15:50;16.8;22:40;24;32;20:10;11;16:30;2.2;0;0;0;2.2
1049N;2013-07-21;30.5;18:00;15.7;03:50;23.1;23;20:00;13;20:10;0;0;0;0;0
1049N;2013-07-22;32.0;16:50;17.4;06:20;24.7;25;20:00;13;20:10;5.4;0;0;0;5.4
1049N;2013-07-23;22.5;13:30;16.5;22:50;19.5;23;22:10;11;22:00;4.2;1;0;0.2;3
1049N;2013-07-24;28.0;16:10;16.5;00:00;22.3;20;17:20;11;16:40;0;0;0;0;0
1049N;2013-07-25;26.0;15:10;18.8;04:40;22.4;22;17:50;13;17:50;5.6;0.2;0;0;5.4
1049N;2013-07-26;28.4;16:00;16.7;23:50;22.6;24;17:30;12;17:20;1.6;0.6;0;0;1
1049N;2013-07-27;24.1;15:30;15.9;07:00;20;22;01:00;10;00:50;0;0;0;0;0
1049N;2013-07-28;26.0;16:30;14.1;07:30;20.1;32;10:50;14;20:40;1;0;0;0;1
1049N;2013-07-29;24.7;15:10;11.8;06:40;18.3;23;20:00;12;19:00;0.2;0.2;0;0;0
1049N;2013-07-30;28.4;15:30;14.2;05:50;21.3;23;15:30;10;16:10;0;0;0;0;0
1049N;2013-07-31;35.3;17:30;15.2;04:50;25.2;26;13:30;12;13:30;0;0;0;0;0
1049N;2013-08-01;35.8;17:40;19.1;23:50;27.4;38;13:20;14;11:30;0;0;0;0;0
1049N;2013-08-02;31.7;15:00;17.1;03:40;24.4;31;14:20;15;16:30;0;0;0;0;0
1049N;2013-08-03;23.2;15:20;16.7;03:40;20;28;15:00;13;15:00;0;0;0;0;0
1049N;2013-08-04;26.8;16:50;15.3;05:20;21;16;12:40;9;13:40;1;0.4;0.6;0;0
1049N;2013-08-05;19.3;10:30;15.6;05:50;17.4;27;08:00;14;08:00;0.8;0;0;0.4;0.4
1049N;2013-08-06;19.1;12:00;15.5;06:30;17.3;24;23:40;11;23:40;3;2;0.6;0;0.4
1049N;2013-08-07;17.9;13:30;13.6;23:50;15.8;23;09:40;10;00:20;7;0;0.4;6.6;0
1049N;2013-08-08;19.3;14:30;11.9;03:00;15.6;37;14:50;14;14:50;16.4;0.4;12;4;0
1049N;2013-08-09;23.5;16:20;10.7;08:00;17.1;18;16:40;9;16:50;0;0;0;0;0
1049N;2013-08-10;23.8;17:10;12.8;00:00;18.3;24;17:30;11;17:30;0;0;0;0;0
1049N;2013-08-11;26.3;17:10;13.6;07:20;19.9;21;15:10;10;15:20;0;0;0;0;0
1049N;2013-08-12;21.4;14:00;16.0;03:30;18.7;21;22:00;9;14:20;0.2;0;0;0;0.2
1049N;2013-08-13;23.6;15:40;15.0;07:00;19.3;24;18:10;10;16:10;0.2;0.2;0;0;0
1049N;2013-08-14;;;;;;;;;;;0;0;0;
1049N;2013-08-15;;;;;;;;;;;;;;
1049N;2013-08-16;;;;;;;;;;;;;;0
1049N;2013-08-17;25.7;15:50;13.5;07:20;19.6;19;11:30;10;14:40;0;0;0;0;0
1049N;2013-08-18;26.9;14:50;13.8;07:40;20.3;23;17:50;12;15:10;0;0;0;0;0
1049N;2013-08-19;19.2;18:00;15.0;23:30;17.1;26;07:40;12;11:20;2;0;0.6;1.4;0
1049N;2013-08-20;23.7;16:00;12.5;07:10;18.1;24;16:30;14;15:10;0;0;0;0;0
1049N;2013-08-21;31.6;16:30;13.1;06:40;22.4;19;16:50;11;17:00;0;0;0;0;0
1049N;2013-08-22;25.1;15:10;17.0;23:50;21.1;25;16:20;13;16:40;0;0;0;0;0
1049N;2013-08-23;19.8;16:10;15.9;06:10;17.8;15;01:30;7;02:00;0;0;0;0;0
1049N;2013-08-24;20.2;16:30;13.8;22:50;17;35;13:10;15;15:00;0.6;0;0.6;0;0
1049N;2013-08-25;21.7;14:50;13.1;08:10;17.4;29;19:40;12;19:40;6.2;0.2;0.2;0;5.8
1049N;2013-08-26;17.3;18:20;13.0;06:10;15.1;22;13:30;10;14:40;2.6;0.2;1.4;0.8;0.2
1049N;2013-08-27;19.9;18:30;12.1;06:10;16;16;01:30;9;14:40;0.8;0.6;0.2;0;0
1049N;2013-08-28;21.4;16:30;13.9;04:30;17.6;26;18:00;10;18:30;1;0;0.2;0.8;0
1049N;2013-08-29;20.8;17:40;12.3;07:40;16.5;24;15:40;11;16:40;0;0;0;0;0
1049N;2013-08-30;22.5;15:20;13.2;02:30;17.8;25;14:40;12;16:00;0;0;0;0;0
1049N;2013-08-31;21.2;15:50;12.4;04:40;16.8;23;15:30;13;15:30;0;0;0;0;0
1049N;2013-09-01;22.4;16:30;14.5;04:00;18.4;24;14:50;10;15:40;0;0;0;0;0
1049N;2013-09-02;22.6;14:50;13.0;04:10;17.8;25;12:10;11;12:10;0;0;0;0;0
1049N;2013-09-03;30.4;16:50;11.4;06:00;20.9;22;17:00;10;17:00;0;0;0;0;0
1049N;2013-09-04;31.3;16:20;17.0;07:50;24.1;24;12:20;13;14:10;0;0;0;0;0
1049N;2013-09-05;28.1;14:40;14.9;23:00;21.5;28;11:30;12;16:30;12;0;0;0;12
1049N;2013-09-06;20.9;15:40;14.2;07:50;17.5;26;17:50;11;18:00;3.4;0.6;0.2;0;2.6
1049N;2013-09-07;16.3;14:20;12.4;23:59;14.3;21;23:59;10;23:40;4;1;1.8;0.4;0.8
1049N;2013-09-08;17.6;15:30;10.3;23:20;14;24;01:50;12;01:50;5.6;4.8;0.8;0;0
1049N;2013-09-09;20.9;15:40;8.4;07:30;14.6;22;14:20;10;16:50;0.2;0;0.2;0;0
1049N;2013-09-10;16.3;15:10;11.1;23:50;13.7;23;19:30;11;10:10;5.4;0;1.8;3.2;0.4
1049N;2013-09-11;16.3;16:20;9.9;08:00;13.1;21;18:30;10;05:00;0.2;0;0;0;0.2
1049N;2013-09-12;17.9;13:20;9.7;03:20;13.8;19;11:00;9;11:00;0;0;0;0;0
1049N;2013-09-13;20.7;18:00;12.5;00:40;16.6;21;18:20;6;13:40;3.6;0.2;3.4;0;0
1049N;2013-09-14;21.4;16:10;12.2;08:50;16.8;33;21:10;14;22:50;2;0.2;0;0;1.8
1049N;2013-09-15;16.6;16:00;9.8;23:59;13.2;23;02:10;10;15:30;1.4;1.4;0;0;0
1049N;2013-09-16;19.1;14:10;8.5;05:00;13.8;32;16:40;14;16:30;2.2;0;0;0.4;1.8
1049N;2013-09-17;13.6;19:20;11.5;22:50;12.6;31;11:20;13;11:30;7;1.2;2.6;3.2;0
1049N;2013-09-18;18.3;15:40;12.3;06:00;15.3;32;23:00;14;23:59;2.8;0;0;0;2.8
1049N;2013-09-19;16.5;16:00;12.8;07:00;14.7;27;00:10;13;00:10;3.6;2.6;0.4;0.4;0.2
1049N;2013-09-20;18.0;13:10;14.2;00:00;16.1;18;07:30;9;05:50;1.6;0.4;0;1;0.2
1049N;2013-09-21;21.8;15:20;11.8;21:50;16.8;19;15:50;9;15:20;0;0;0;0;0
1049N;2013-09-22;27.8;16:20;10.0;09:10;18.9;15;07:00;12;08:30;0;0;0;0;0
1049N;2013-09-23;29.1;16:30;15.3;07:10;22.2;23;13:30;11;10:30;0;0;0;0;0
1049N;2013-09-24;29.2;15:50;16.9;05:50;23.1;18;03:20;11;19:20;0;0;0;0;0
1049N;2013-09-25;29.8;17:00;16.5;03:20;23.1;19;09:10;9;13:00;0;0;0;0;0
1049N;2013-09-26;;;;;;;;;;;0;0;0;
1049N;2013-09-27;28.1;17:20;18.8;08:20;23.4;28;15:20;14;03:20;0;0;0;0;0
1049N;2013-09-28;22.4;03:20;16.4;21:30;19.4;44;16:20;13;09:30;0.2;0;0.2;0;0
1049N;2013-09-29;21.8;14:00;14.5;23:59;18.1;30;00:20;9;16:30;0.2;0;0;0.2;0
1049N;2013-09-30;24.9;15:10;14.0;00:50;19.4;18;04:50;9;02:20;0;0;0;0;0
1049N;2013-10-01;23.0;12:40;17.2;00:40;20.1;36;17:00;12;08:00;0;0;0;0;0
1049N;2013-10-02;27.2;17:00;19.3;08:20;23.3;33;23:59;14;23:59;0;0;0;0;0
1049N;2013-10-03;25.5;15:30;17.6;23:50;21.6;40;11:00;18;01:00;1.6;0.2;0;1;0.4
1049N;2013-10-04;22.8;16:00;12.0;21:50;17.4;30;16:10;13;16:20;11.2;1;4.8;5.4;0
1049N;2013-10-05;16.6;13:40;10.9;07:20;13.8;23;15:40;11;15:40;0.8;0.2;0.2;0.4;0
1049N;2013-10-06;18.3;17:20;11.7;20:40;15;21;16:40;9;14:40;1.8;0.4;1.2;0.2;0
1049N;2013-10-07;18.0;15:50;8.9;07:30;13.4;18;17:00;9;14:10;0;0;0;0;0
1049N;2013-10-08;15.8;16:30;9.1;06:00;12.5;14;20:10;8;03:30;0;0;0;0;0
1049N;2013-10-09;17.5;16:00;8.9;23:50;13.2;24;14:50;9;14:20;0;0;0;0;0
1049N;2013-10-10;13.8;11:30;8.1;03:50;11;27;19:30;12;11:40;2.4;0;0;1.8;0.6
1049N;2013-10-11;11.8;13:10;5.1;22:10;8.5;27;14:50;13;14:50;4;0;0.6;3.2;0.2
1049N;2013-10-12;17.0;16:10;4.8;08:20;10.9;17;13:20;9;20:00;0;0;0;0;0
1049N;2013-10-13;18.0;16:20;7.0;05:10;12.5;18;14:10;8;04:00;0;0;0;0;0
1049N;2013-10-14;20.0;16:20;10.7;06:00;15.3;14;02:20;6;04:40;0;0;0;0;0
1049N;2013-10-15;18.6;17:50;12.9;04:40;15.8;34;09:50;13;09:10;1.2;0.4;0;0.4;0.4
1049N;2013-10-16;24.5;14:20;14.9;23:30;19.7;35;17:10;17;16:10;0.2;0;0;0;0.2
1049N;2013-10-17;23.3;16:30;14.1;08:50;18.7;20;15:40;9;11:50;0.6;0.6;0;0;0
1049N;2013-10-18;25.5;16:40;15.1;08:10;20.3;56;11:40;12;10:10;0;0;0;0;0
1049N;2013-10-19;23.5;15:50;17.8;23:00;20.6;36;07:10;14;07:40;0;0;0;0;0
1049N;2013-10-20;22.5;16:00;14.3;22:50;18.4;33;14:00;14;13:30;0;0;0;0;0
1049N;2013-10-21;19.7;20:20;14.6;01:50;17.2;38;22:10;17;23:00;0;0;0;0;0
1049N;2013-10-22;19.5;00:00;14.8;22:40;17.2;46;08:00;22;07:50;0.2;0;0;0;0.2
1049N;2013-10-23;21.5;16:10;14.4;06:10;17.9;33;02:00;10;01:50;0;0;0;0;0
1049N;2013-10-24;21.2;16:50;13.8;03:00;17.5;61;15:50;27;15:30;0;0;0;0;0
1049N;2013-10-25;20.7;16:10;14.9;10:50;17.8;35;10:20;16;01:50;2.4;0;2.4;0;0
1049N;2013-10-26;20.4;16:20;14.1;21:10;17.3;32;05:10;14;04:20;0.2;0;0.2;0;0
1049N;2013-10-27;19.3;14:30;12.2;07:30;15.7;43;23:40;15;17:20;0;0;0;0;0
1049N;2013-10-28;17.5;00:00;9.3;21:50;13.4;49;01:40;14;03:50;2.4;0;0.4;1.8;0.2
1049N;2013-10-29;10.3;13:20;6.1;07:00;8.2;32;14:00;14;12:20;13.2;0.8;0;3;9.4
1049N;2013-10-30;11.5;15:50;5.6;23:59;8.5;18;11:50;9;12:20;2.4;1.2;0.8;0.4;0
1049N;2013-10-31;15.0;14:50;4.0;08:30;9.5;15;10:00;12;10:00;0.2;0.2;0;0;0
1049N;2013-11-01;;;;;;;;;;;0;0;;
1049N;2013-11-02;18.6;11:10;12.3;23:40;15.5;35;20:10;13;20:10;8.2;0;0;0;8.2
1049N;2013-11-03;14.9;14:30;8.1;19:40;11.5;42;02:00;15;04:30;3;2.6;0;0;0.4
1049N;2013-11-04;11.7;16:40;9.2;00:00;10.4;57;20:50;21;18:40;38.8;8.2;9.8;11;9.8
1049N;2013-11-05;15.9;15:50;11.4;00:00;13.6;62;06:10;26;04:00;26.8;12;9.2;5.2;0.4
1049N;2013-11-06;20.2;15:10;12.4;23:59;16.3;26;00:40;11;00:40;0;0;0;0;0
1049N;2013-11-07;19.1;14:40;11.7;06:00;15.4;27;22:50;12;22:50;0;0;0;0;0
1049N;2013-11-08;14.7;08:10;7.2;23:59;10.9;41;14:40;14;17:30;5;0;0.4;4.2;0.4
1049N;2013-11-09;11.5;14:40;4.4;07:30;8;29;13:50;10;14:00;11.4;0.2;0;2.2;9
1049N;2013-11-10;11.8;07:00;10.5;23:00;11.2;47;14:20;19;11:20;20.6;1.4;3;11;5.2
1049N;2013-11-11;11.7;13:10;10.2;04:40;10.9;36;04:10;13;14:20;11.4;4.4;5.4;1;0.6
1049N;2013-11-12;11.1;14:10;10.3;08:00;10.7;26;15:20;13;15:10;1.6;1.6;0;0;0
1049N;2013-11-13;12.8;13:30;9.1;23:10;11;33;09:00;12;09:00;0;0;0;0;0
1049N;2013-11-14;10.9;14:00;6.8;23:40;8.8;37;23:40;16;23:40;0.8;0;0;0;0.8
1049N;2013-11-15;7.1;01:20;1.7;22:00;4.4;53;03:40;19;03:40;52.4;14.4;12.8;8.4;16.8
1049N;2013-11-16;7.4;23:59;0.2;05:40;3.8;23;12:20;9;15:20;0;0;0;0;0
1049N;2013-11-17;7.5;00:10;6.3;05:50;6.9;25;04:20;11;03:20;9;0;4.2;4.8;0
1049N;2013-11-18;8.5;13:20;6.5;00:00;7.5;42;16:40;17;16:40;35.6;2.6;12.8;19.4;0.8
1049N;2013-11-19;7.9;11:30;2.9;23:40;5.4;44;23:00;22;23:00;28;2.4;11;7.6;7
1049N;2013-11-20;4.9;16:40;2.1;04:50;3.5;33;04:30;15;02:10;19.4;3;8.8;5.2;2.4
1049N;2013-11-22;6.3;14:30;2.1;20:40;4.2;35;01:40;15;00:40;10.4;5.2;1.6;0.4;3.2
1049N;2013-11-23;5.8;14:00;2.8;02:40;4.3;30;12:20;13;01:30;20.2;9.8;5;2.6;2.8
1049N;2013-11-24;5.1;13:00;3.8;10:10;4.4;27;13:50;10;13:00;16.4;4.4;4.2;3.2;4.6
1049N;2013-11-25;5.0;11:50;4.1;04:10;4.5;31;09:30;12;19:20;3.6;1.8;0;1.8;0
1049N;2013-11-26;4.3;00:00;2.3;09:10;3.3;30;11:40;13;11:40;0;0;0;0;0
1049N;2013-11-27;4.0;13:40;-1.1;08:10;1.4;28;12:50;10;13:20;;;0;0;0
1049N;2013-11-28;5.5;14:00;-1.8;07:10;1.9;13;18:50;8;10:20;0;0;0;0;0
1049N;2013-11-29;5.1;23:20;0.9;00:00;3;21;09:30;11;09:20;0;0;0;0;0
1049N;2013-11-30;7.0;11:00;3.9;23:00;5.5;41;14:50;17;11:20;12.8;0.2;6.4;4.8;1.4
1049N;2013-12-01;5.4;14:10;1.3;08:50;3.4;26;15:10;13;15:10;0.2;0.2;0;0;0
1049N;2013-12-02;6.1;13:00;1.7;23:50;3.9;22;07:20;10;07:20;0;0;0;0;0
1049N;2013-12-03;11.5;13:50;1.7;04:40;6.6;17;08:20;10;07:50;0;0;0;0;0
1049N;2013-12-04;10.0;14:00;3.9;06:30;7;13;00:50;8;00:10;0.8;0;0;0;0.8
1049N;2013-12-05;7.3;00:00;5.7;20:20;6.5;21;23:00;10;22:40;0.2;0.2;0;0;0
1049N;2013-12-06;8.5;14:40;2.6;21:30;5.5;22;15:30;10;15:30;0;0;0;0;0
1049N;2013-12-07;8.9;14:00;2.7;09:30;5.8;26;00:50;11;03:40;0;0;0;0;0
1049N;2013-12-08;9.4;14:10;2.5;06:10;5.9;16;22:50;8;22:50;0;0;0;0;0
1049N;2013-12-09;9.0;14:20;1.6;21:50;5.3;25;14:10;16;23:00;0;0;0;0;0
1049N;2013-12-10;9.3;14:30;-0.4;07:40;4.5;31;21:20;17;22:30;0;0;0;0;0
1049N;2013-12-11;13.5;14:30;4.0;03:20;8.8;49;06:50;27;08:40;0;0;0;0;0
1049N;2013-12-12;9.7;14:10;0.5;08:30;5.1;24;02:30;15;02:30;0;0;0;0;0
1049N;2013-12-13;8.2;13:50;3.8;06:00;6;23;23:40;14;23:30;3.6;0;0;1;2.6
1049N;2013-12-14;9.9;14:40;4.9;08:40;7.4;28;00:10;12;00:10;0;0;0;0;0
1049N;2013-12-15;14.2;14:50;5.0;03:30;9.6;29;13:00;13;10:40;0;0;0;0;0
1049N;2013-12-16;13.7;14:40;7.4;00:40;10.5;41;21:20;22;10:20;0;0;0;0;0
1049N;2013-12-17;11.1;14:30;6.7;19:50;8.9;39;11:10;19;11:20;0;0;0;0;0
1049N;2013-12-18;11.7;14:10;6.8;07:20;9.3;47;16:20;15;16:20;0.8;0;0;0;0.8
1049N;2013-12-19;9.9;00:00;3.5;22:30;6.7;44;22:10;20;16:00;25;3.6;3;4.6;13.8
1049N;2013-12-20;6.8;14:40;1.3;23:10;4.1;34;01:40;17;01:20;10.4;5.2;2.4;2.8;0
1049N;2013-12-21;7.6;14:30;-0.5;08:40;3.5;36;14:30;12;07:00;0.2;0;0.2;0;0
1049N;2013-12-22;11.8;14:50;3.4;01:00;7.6;31;10:00;12;22:30;0;0;0;0;0
1049N;2013-12-23;11.8;22:50;4.6;04:10;8.2;52;22:20;18;22:40;0;0;0;0;0
1049N;2013-12-24;14.2;13:20;9.1;22:10;11.7;73;03:30;28;03:30;6.2;0;0.2;2.4;3.6
1049N;2013-12-25;9.2;00:00;3.4;23:40;6.3;36;14:20;13;18:00;1;0.4;0;0.2;0.4
1049N;2013-12-26;7.2;23:10;0.9;09:00;4;49;06:20;18;06:10;17;0.2;13;3.8;0
1049N;2013-12-27;15.2;14:00;6.7;00:10;10.9;48;14:10;19;22:40;0.2;0;0;0.2;0
1049N;2013-12-28;14.3;00:00;3.2;22:30;8.8;42;00:30;17;07:20;4.6;0.2;4.2;0;0.2
1049N;2013-12-29;7.1;14:20;2.9;23:10;5;24;11:40;12;11:40;0.2;0;0;0.2;0
1049N;2013-12-30;9.8;14:00;2.8;02:20;6.3;33;10:00;16;11:30;0.4;0;0;0.2;0.2
1049N;2013-12-31;11.0;15:30;6.3;00:00;8.7;50;08:50;17;10:40;0;0;0;0;0
1049N;2014-01-01;12.6;20:20;6.4;01:50;9.5;52;18:20;18;19:20;0.8;0;0;0.6;0.2
1049N;2014-01-02;13.4;14:00;9.1;07:10;11.3;33;19:10;14;00:10;2;0.2;0;0;1.8
1049N;2014-01-03;14.2;01:20;10.0;20:10;12.1;39;23:50;14;23:50;2.2;1.6;0.6;0;0
1049N;2014-01-04;12.2;00:40;2.8;21:30;7.5;63;17:50;26;17:50;7;0;0;6.8;0.2
1049N;2014-01-05;12.8;22:50;2.5;00:30;7.7;55;22:50;17;21:50;2.2;0;0.2;1.8;0.2
1049N;2014-01-06;14.6;15:40;12.1;08:30;13.4;71;04:10;21;07:20;0;0;0;0;0
1049N;2014-01-07;16.4;14:00;12.1;07:10;14.3;45;11:50;21;14:40;0;0;0;0;0
1049N;2014-01-08;16.3;15:40;10.8;06:10;13.5;37;23:30;20;23:40;0;0;0;0;0
1049N;2014-01-09;15.7;15:00;6.6;23:50;11.1;47;00:20;22;00:50;0;0;0;0;0
1049N;2014-01-10;15.4;15:10;4.6;07:00;10;23;21:50;12;04:30;0;0;0;0;0
1049N;2014-01-11;11.6;13:20;5.6;23:30;8.6;21;23:00;15;23:20;0;0;0;0;0
1049N;2014-01-12;13.3;16:50;4.8;01:40;9.1;31;10:20;14;09:30;1.2;0;0;0;1.2
1049N;2014-01-13;10.0;14:40;5.4;09:30;7.7;31;23:50;10;23:20;3.8;1.6;2;0.2;0
1049N;2014-01-14;7.9;00:10;5.3;06:30;6.6;33;17:00;14;16:50;13.8;2.8;9.4;0.6;1
1049N;2014-01-15;11.7;22:30;6.7;00:40;9.2;45;15:40;17;15:10;2.2;2.2;0;0;0
